"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"HIV-thesis-feb-24-3-55-pm.nlogo"
"Base experiment"
"02/24/2024 21:34:05:382 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-12","12","-12","12"
"[run number]","average-coupling-tendency","average-drug-tendency","average-test-frequency","average-condom-use","initial-people","average-treatment-tendency","average-commitment","[step]","count turtles with [treated?]","count turtles with [infected?]","count turtles with [drugs?]","count turtles with [known?]","count turtles with [infected? and not known?]","count turtles with [gender = 1 and infected?]","count turtles with [shape = ""person lefty"" and infected?]","count turtles with [shape = ""person righty"" and infected?]","count turtles with [infected? and drugs?]","count turtles with [gender = 1]","count turtles with [gender = 0]","count turtles with [shape = ""person lefty""]","count turtles with [shape = ""person righty""]"
"12","3","1","1","4","5000","4","523","1825","593","1337","63","1106","231","595","300","442","22","2512","2488","1257","1231"
"3","3","1","1","4","5000","4","523","1460","501","1190","63","874","316","505","286","399","19","2506","2494","1214","1280"
"8","3","1","1","4","5000","4","523","1460","500","1089","63","853","236","488","248","353","15","2431","2569","1337","1232"
"7","3","1","1","4","5000","4","523","1460","505","1119","63","838","281","499","262","358","18","2511","2489","1292","1197"
"11","3","1","1","4","5000","4","523","1825","579","1323","63","1099","224","590","314","419","23","2551","2449","1247","1202"
"5","3","1","1","4","5000","4","523","1825","600","1464","63","1189","275","654","328","482","21","2486","2514","1240","1274"
"14","3","1","1","4","5000","4","523","1825","589","1330","63","1150","180","591","302","437","22","2517","2483","1268","1215"
"10","3","1","1","4","5000","4","523","1825","597","1356","63","1142","214","581","325","450","26","2455","2545","1284","1261"
"6","3","1","1","4","5000","4","523","1825","600","1419","63","1136","283","621","322","476","24","2542","2458","1195","1263"
"2","3","1","1","4","5000","4","523","1825","594","1384","63","1128","256","627","320","437","22","2526","2474","1260","1214"
"4","3","1","1","4","5000","4","523","1825","582","1320","63","1131","189","599","302","419","22","2527","2473","1298","1175"
"12","3","1","1","4","5000","4","523","2190","809","1570","63","1463","107","708","349","513","25","2512","2488","1257","1231"
"9","3","1","1","4","5000","4","523","1825","569","1276","63","1056","220","594","279","403","21","2552","2448","1218","1230"
"16","3","1","1","4","5000","4","523","1825","570","1281","63","1088","193","615","255","411","19","2518","2482","1254","1228"
"11","3","1","1","4","5000","4","523","2190","796","1546","63","1387","159","688","368","490","29","2551","2449","1247","1202"
"15","3","1","1","4","5000","4","523","1825","599","1368","63","1118","250","596","314","458","23","2498","2502","1239","1263"
"13","3","1","1","4","5000","4","523","1825","582","1360","63","1115","245","608","301","451","22","2527","2473","1253","1220"
"3","3","1","1","4","5000","4","523","1825","596","1469","63","1196","273","631","345","493","19","2506","2494","1214","1280"
"8","3","1","1","4","5000","4","523","1825","594","1327","63","1125","202","591","291","445","16","2431","2569","1337","1232"
"5","3","1","1","4","5000","4","523","2190","840","1708","63","1535","173","752","388","568","26","2486","2514","1240","1274"
"7","3","1","1","4","5000","4","523","1825","597","1345","63","1094","251","608","311","426","19","2511","2489","1292","1197"
"12","3","1","1","4","5000","4","523","2555","1007","1790","63","1713","77","801","403","586","27","2512","2488","1257","1231"
"14","3","1","1","4","5000","4","523","2190","796","1542","63","1437","105","686","355","501","25","2517","2483","1268","1215"
"10","3","1","1","4","5000","4","523","2190","809","1600","63","1474","126","696","372","532","28","2455","2545","1284","1261"
"6","3","1","1","4","5000","4","523","2190","838","1686","63","1539","147","732","378","576","27","2542","2458","1195","1263"
"11","3","1","1","4","5000","4","523","2555","1001","1745","63","1641","104","776","413","556","30","2551","2449","1247","1202"
"4","3","1","1","4","5000","4","523","2190","798","1543","63","1452","91","696","358","489","22","2527","2473","1298","1175"
"2","3","1","1","4","5000","4","523","2190","824","1607","63","1457","150","722","372","513","24","2526","2474","1260","1214"
"9","3","1","1","4","5000","4","523","2190","760","1484","63","1361","123","683","325","476","23","2552","2448","1218","1230"
"16","3","1","1","4","5000","4","523","2190","755","1527","63","1404","123","720","313","494","23","2518","2482","1254","1228"
"5","3","1","1","4","5000","4","523","2555","1072","1931","63","1812","119","846","444","641","28","2486","2514","1240","1274"
"15","3","1","1","4","5000","4","523","2190","812","1610","63","1461","149","697","375","538","23","2498","2502","1239","1263"
"13","3","1","1","4","5000","4","523","2190","789","1601","63","1454","147","727","350","524","25","2527","2473","1253","1220"
"3","3","1","1","4","5000","4","523","2190","841","1730","63","1577","153","757","393","580","23","2506","2494","1214","1280"
"8","3","1","1","4","5000","4","523","2190","794","1562","63","1448","114","674","359","529","23","2431","2569","1337","1232"
"7","3","1","1","4","5000","4","523","2190","812","1585","63","1421","164","716","355","514","19","2511","2489","1292","1197"
"1","3","1","1","4","5000","4","523","365","105","596","63","155","441","264","131","201","11","2418","2582","1249","1333"
"12","3","1","1","4","5000","4","523","2920","1145","2061","63","2000","61","919","463","679","29","2512","2488","1257","1231"
"11","3","1","1","4","5000","4","523","2920","1142","2003","63","1905","98","895","469","639","31","2551","2449","1247","1202"
"10","3","1","1","4","5000","4","523","2555","1020","1824","63","1745","79","791","414","619","32","2455","2545","1284","1261"
"14","3","1","1","4","5000","4","523","2555","995","1754","63","1685","69","772","417","565","27","2517","2483","1268","1215"
"6","3","1","1","4","5000","4","523","2555","1064","1899","63","1806","93","835","426","638","29","2542","2458","1195","1263"
"5","3","1","1","4","5000","4","523","2920","1235","2222","63","2135","87","978","505","739","32","2486","2514","1240","1274"
"4","3","1","1","4","5000","4","523","2555","1004","1746","63","1694","52","783","411","552","22","2527","2473","1298","1175"
"2","3","1","1","4","5000","4","523","2555","1037","1796","63","1705","91","799","412","585","27","2526","2474","1260","1214"
"9","3","1","1","4","5000","4","523","2555","955","1684","63","1607","77","779","360","545","25","2552","2448","1218","1230"
"16","3","1","1","4","5000","4","523","2555","958","1741","63","1643","98","823","355","563","28","2518","2482","1254","1228"
"15","3","1","1","4","5000","4","523","2555","1029","1831","63","1741","90","800","422","609","27","2498","2502","1239","1263"
"13","3","1","1","4","5000","4","523","2555","1001","1823","63","1709","114","829","401","593","26","2527","2473","1253","1220"
"3","3","1","1","4","5000","4","523","2555","1087","1953","63","1852","101","856","443","654","26","2506","2494","1214","1280"
"8","3","1","1","4","5000","4","523","2555","997","1758","63","1683","75","767","410","581","26","2431","2569","1337","1232"
"7","3","1","1","4","5000","4","523","2555","1009","1793","63","1678","115","810","402","581","19","2511","2489","1292","1197"
"12","3","1","1","4","5000","4","523","3285","1357","2327","63","2295","32","1050","513","764","35","2512","2488","1257","1231"
"11","3","1","1","4","5000","4","523","3285","1347","2239","63","2184","55","1015","523","701","33","2551","2449","1247","1202"
"10","3","1","1","4","5000","4","523","2920","1149","2087","63","2023","64","914","478","695","34","2455","2545","1284","1261"
"14","3","1","1","4","5000","4","523","2920","1134","2004","63","1950","54","888","483","633","27","2517","2483","1268","1215"
"5","3","1","1","4","5000","4","523","3285","1484","2500","63","2433","67","1103","576","821","36","2486","2514","1240","1274"
