"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"HIV-thesis-feb-24-3-55-pm.nlogo"
"coupling-tendency"
"02/28/2024 18:17:08:445 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-12","12","-12","12"
"average-coupling-tendency","average-drug-tendency","average-test-frequency","average-condom-use","initial-people","average-treatment-tendency","average-commitment","[step]","(mean) count turtles with [treated?]","(std) count turtles with [treated?]","(mean) count turtles with [infected?]","(std) count turtles with [infected?]","(mean) count turtles with [drugs?]","(std) count turtles with [drugs?]","(mean) count turtles with [known?]","(std) count turtles with [known?]","(mean) count turtles with [infected? and not known?]","(std) count turtles with [infected? and not known?]","(mean) count turtles with [gender = 1 and infected?]","(std) count turtles with [gender = 1 and infected?]","(mean) count turtles with [shape = ""person lefty"" and infected?]","(std) count turtles with [shape = ""person lefty"" and infected?]","(mean) count turtles with [shape = ""person righty"" and infected?]","(std) count turtles with [shape = ""person righty"" and infected?]","(mean) count turtles with [infected? and drugs?]","(std) count turtles with [infected? and drugs?]","(mean) count turtles with [gender = 1]","(std) count turtles with [gender = 1]","(mean) count turtles with [gender = 0]","(std) count turtles with [gender = 0]","(mean) count turtles with [shape = ""person lefty""]","(std) count turtles with [shape = ""person lefty""]","(mean) count turtles with [shape = ""person righty""]","(std) count turtles with [shape = ""person righty""]"
"2","0.1","1","4","5000","4","523","9855","4380.4","66.55944711308831","4565.12","58.21224613429722","63","0","4562.48","58.95565791338436","2.64","1.7408044117591148","2218.12","32.23205857527564","1107.92","24.851430542324927","1239.08","35.35864250787916","57.92","2.018316129846858","2504.6","26.843248685656516","2495.4","26.843248685656516","1248.4","31.485869846647084","1247","34.318508126082634"
"2","0.1","1","4","5000","4","523","10220","4436.92","64.48250615477039","4603.04","56.07885876156897","63","0","4600.52","56.82472701210275","2.52","1.746310396235446","2242.48","33.25551984257651","1119.72","24.95198589291041","1240.84","35.08467471703279","58.24","2.1406541056415445","2504.6","26.843248685656516","2495.4","26.843248685656516","1248.4","31.485869846647084","1247","34.318508126082634"
"2","0.1","1","4","5000","4","523","10585","4486.24","63.07156570119375","4637.96","53.60110446623278","63","0","4635.96","53.88319218457645","2","1.5491933384829668","2265.12","31.338564102396266","1130.48","25.82110764471578","1242.36","34.82973442333433","58.8","1.9595917942265424","2504.6","26.843248685656516","2495.4","26.843248685656516","1248.4","31.485869846647084","1247","34.318508126082634"
"2","0.1","1","4","5000","4","523","10950","4531.32","59.63939637521495","4667.64","50.310937180696605","63","0","4665.8","50.645434147610985","1.84","1.3763720427268205","2283.24","29.324774508936983","1140.8","25.08704845134238","1243.6","34.68140712254911","59.16","1.826033953682132","2504.6","26.843248685656516","2495.4","26.843248685656516","1248.4","31.485869846647084","1247","34.318508126082634"
"2","0.1","1","4","5000","4","523","11315","4571.76","57.74237958380309","4694.44","49.108923832639626","63","0","4692.56","49.338893380374884","1.88","1.1070682002478438","2300.6","29.691749695833018","1149.72","25.58830983085831","1244.12","34.56972085510671","59.48","1.6277591959500644","2504.6","26.843248685656516","2495.4","26.843248685656516","1248.4","31.48586984664708","1247","34.318508126082634"
"2","0.1","1","4","5000","4","523","11680","4609.6","56.06353538620268","4720.72","47.63067918894291","63","0","4719.08","47.73838706952718","1.64","1.0537551897855593","2318.24","29.308401525842385","1157.72","24.643895795916684","1244.76","34.454932883405824","59.76","1.5304901175767192","2504.6","26.843248685656516","2495.4","26.843248685656516","1248.4","31.48586984664708","1247","34.318508126082634"
"2","0.1","1","4","5000","4","523","12045","4642.52","53.36599666454287","4744.2","46.091213913282864","63","0","4742.72","46.08819371596157","1.48","0.8997777503361594","2333.24","27.92458415088755","1165.4","24.378679209506","1245.56","34.46514761320485","59.88","1.5315351775261319","2504.6","26.843248685656516","2495.4","26.843248685656516","1248.4","31.48586984664708","1247","34.318508126082634"
"2","0.1","1","4","5000","4","523","12410","4671.8","49.345313860588625","4765.76","42.82455370462137","63","0","4764.52","42.85708342853023","1.24","0.9911609354691094","2347.4","27.148480620469353","1172.56","24.635064440751922","1245.8","34.56124997739521","60.12","1.6569852141766384","2504.6","26.843248685656516","2495.4","26.843248685656516","1248.4","31.48586984664708","1247","34.318508126082634"
"2","0.1","1","4","5000","4","523","12775","4698.2","49.17804388139081","4785.72","39.58436054807505","63","0","4784.76","40.03526445522747","0.96","1.2158947322856533","2360.84","25.913208986924033","1178.8","24.70141696340516","1246.08","34.41501997674851","60.24","1.5304901175767192","2504.6","26.843248685656516","2495.4","26.843248685656516","1248.4","31.48586984664708","1247","34.318508126082634"
"2","0.1","1","4","5000","4","523","13140","4724.68","46.945687767887705","4803.08","36.59718021924639","63","0","4802.24","37.0764399585505","0.84","1.0836973747315255","2373.2","25.24598978055722","1183.56","24.605820449641584","1246.32","34.403162645315035","60.48","1.445544879967412","2504.6","26.843248685656516","2495.4","26.843248685656516","1248.4","31.48586984664708","1247","34.318508126082634"
