"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"HIV-thesis-feb-24-3-55-pm.nlogo"
"drug-tendency"
"02/27/2024 18:25:17:705 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-12","12","-12","12"
"[run number]","average-coupling-tendency","average-drug-tendency","average-test-frequency","average-condom-use","initial-people","average-treatment-tendency","average-commitment","[step]","count turtles with [treated?]","count turtles with [infected?]","count turtles with [drugs?]","count turtles with [known?]","count turtles with [infected? and not known?]","count turtles with [gender = 1 and infected?]","count turtles with [shape = ""person lefty"" and infected?]","count turtles with [shape = ""person righty"" and infected?]","count turtles with [infected? and drugs?]","count turtles with [gender = 1]","count turtles with [gender = 0]","count turtles with [shape = ""person lefty""]","count turtles with [shape = ""person righty""]"
"15","3","0","1","4","5000","4","523","2555","1008","1788","0","1702","86","813","398","577","0","2523","2477","1254","1223"
"14","3","0","1","4","5000","4","523","2190","751","1494","0","1382","112","647","357","490","0","2498","2502","1249","1253"
"16","3","0","1","4","5000","4","523","2190","769","1560","0","1433","127","702","360","498","0","2530","2470","1242","1228"
"1","3","0","1","4","5000","4","523","2190","818","1608","0","1484","124","733","340","535","0","2533","2467","1222","1245"
"7","3","0","1","4","5000","4","523","2190","792","1587","0","1446","141","759","311","517","0","2550","2450","1196","1254"
"2","3","0","1","4","5000","4","523","1825","584","1336","0","1107","229","593","294","449","0","2510","2490","1235","1255"
"6","3","0","1","4","5000","4","523","2555","978","1744","0","1666","78","797","381","566","0","2500","2500","1269","1231"
"12","3","0","1","4","5000","4","523","2555","933","1674","0","1599","75","762","371","541","0","2531","2469","1273","1196"
"3","3","0","1","4","5000","4","523","2555","996","1765","0","1704","61","786","415","564","0","2464","2536","1274","1262"
"4","3","0","1","4","5000","4","523","2555","991","1779","0","1696","83","800","386","593","0","2498","2502","1245","1257"
"5","3","0","1","4","5000","4","523","2190","795","1599","0","1452","147","722","354","523","0","2546","2454","1230","1224"
"10","3","0","1","4","5000","4","523","2555","1025","1812","0","1730","82","785","430","597","0","2476","2524","1264","1260"
"11","3","0","1","4","5000","4","523","2555","1029","1824","0","1723","101","859","371","594","0","2560","2440","1212","1228"
"9","3","0","1","4","5000","4","523","2555","1000","1805","0","1714","91","807","397","601","0","2426","2574","1293","1281"
"8","3","0","1","4","5000","4","523","2555","1006","1846","0","1760","86","844","392","610","0","2493","2507","1254","1253"
"15","3","0","1","4","5000","4","523","2920","1134","2049","0","1981","68","938","444","667","0","2523","2477","1254","1223"
"13","3","0","1","4","5000","4","523","2190","796","1600","0","1463","137","713","343","544","0","2398","2602","1318","1284"
"14","3","0","1","4","5000","4","523","2555","960","1663","0","1596","67","730","388","545","0","2498","2502","1249","1253"
"16","3","0","1","4","5000","4","523","2555","981","1747","0","1669","78","777","403","567","0","2530","2470","1242","1228"
"6","3","0","1","4","5000","4","523","2920","1104","1993","0","1934","59","919","436","638","0","2500","2500","1269","1231"
"1","3","0","1","4","5000","4","523","2555","1027","1831","0","1753","78","830","390","611","0","2533","2467","1222","1245"
"7","3","0","1","4","5000","4","523","2555","1022","1803","0","1719","84","846","364","593","0","2550","2450","1196","1254"
"2","3","0","1","4","5000","4","523","2190","800","1582","0","1457","125","704","355","523","0","2510","2490","1235","1255"
"12","3","0","1","4","5000","4","523","2920","1065","1939","0","1859","80","879","431","629","0","2531","2469","1273","1196"
"3","3","0","1","4","5000","4","523","2920","1125","2039","0","1990","49","900","483","656","0","2464","2536","1274","1262"
"4","3","0","1","4","5000","4","523","2920","1127","2042","0","1985","57","930","447","665","0","2498","2502","1245","1257"
"10","3","0","1","4","5000","4","523","2920","1173","2076","0","2022","54","898","490","688","0","2476","2524","1264","1260"
"5","3","0","1","4","5000","4","523","2555","997","1810","0","1709","101","823","400","587","0","2546","2454","1230","1224"
"11","3","0","1","4","5000","4","523","2920","1173","2087","0","2002","85","976","433","678","0","2560","2440","1212","1228"
"9","3","0","1","4","5000","4","523","2920","1122","2093","0","2015","78","941","468","684","0","2426","2574","1293","1281"
"15","3","0","1","4","5000","4","523","3285","1364","2303","0","2255","48","1063","510","730","0","2523","2477","1254","1223"
"8","3","0","1","4","5000","4","523","2920","1149","2118","0","2050","68","964","467","687","0","2493","2507","1254","1253"
"14","3","0","1","4","5000","4","523","2920","1082","1913","0","1867","46","839","450","624","0","2498","2502","1249","1253"
"6","3","0","1","4","5000","4","523","3285","1318","2253","0","2204","49","1026","502","725","0","2500","2500","1269","1231"
"16","3","0","1","4","5000","4","523","2920","1123","2014","0","1951","63","907","456","651","0","2530","2470","1242","1228"
"13","3","0","1","4","5000","4","523","2555","1014","1837","0","1747","90","804","411","622","0","2398","2602","1318","1284"
"1","3","0","1","4","5000","4","523","2920","1163","2096","0","2038","58","953","458","685","0","2533","2467","1222","1245"
"7","3","0","1","4","5000","4","523","2920","1135","2081","0","2007","74","962","439","680","0","2550","2450","1196","1254"
"12","3","0","1","4","5000","4","523","3285","1270","2202","0","2147","55","981","503","718","0","2531","2469","1273","1196"
"3","3","0","1","4","5000","4","523","3285","1357","2309","0","2282","27","1009","552","748","0","2464","2536","1274","1262"
"4","3","0","1","4","5000","4","523","3285","1365","2316","0","2279","37","1048","520","748","0","2498","2502","1245","1257"
"2","3","0","1","4","5000","4","523","2555","999","1777","0","1685","92","796","397","584","0","2510","2490","1235","1255"
"10","3","0","1","4","5000","4","523","3285","1420","2386","0","2340","46","1037","567","782","0","2476","2524","1264","1260"
"11","3","0","1","4","5000","4","523","3285","1400","2359","0","2292","67","1093","500","766","0","2560","2440","1212","1228"
"15","3","0","1","4","5000","4","523","3650","1616","2518","0","2491","27","1169","550","799","0","2523","2477","1254","1223"
"9","3","0","1","4","5000","4","523","3285","1359","2377","0","2320","57","1055","542","780","0","2426","2574","1293","1281"
"5","3","0","1","4","5000","4","523","2920","1132","2085","0","2002","83","963","450","672","0","2546","2454","1230","1224"
"8","3","0","1","4","5000","4","523","3285","1388","2401","0","2355","46","1104","525","772","0","2493","2507","1254","1253"
"6","3","0","1","4","5000","4","523","3650","1586","2507","0","2484","23","1131","575","801","0","2500","2500","1269","1231"
"14","3","0","1","4","5000","4","523","3285","1291","2188","0","2151","37","966","515","707","0","2498","2502","1249","1253"
"16","3","0","1","4","5000","4","523","3285","1349","2265","0","2228","37","1029","514","722","0","2530","2470","1242","1228"
"1","3","0","1","4","5000","4","523","3285","1381","2371","0","2323","48","1085","518","768","0","2533","2467","1222","1245"
"13","3","0","1","4","5000","4","523","2920","1146","2125","0","2061","64","947","464","714","0","2398","2602","1318","1284"
"7","3","0","1","4","5000","4","523","3285","1374","2339","0","2296","43","1077","501","761","0","2550","2450","1196","1254"
"12","3","0","1","4","5000","4","523","3650","1527","2429","0","2388","41","1091","561","777","0","2531","2469","1273","1196"
"3","3","0","1","4","5000","4","523","3650","1598","2549","0","2528","21","1109","603","837","0","2464","2536","1274","1262"
